1;1;1;ABC1D23;PORSCHE CAYENNE;2026;PRETO
1;1;2;QPA1A23;TOYOTA COROLLA;2022;PRATA
1;1;3;BRA2B45;HONDA CIVIC;2021;PRETO
1;1;4;KLM3C67;CHEVROLET ONIX;2023;BRANCO
1;1;5;TRF4D89;VOLKSWAGEN GOLF;2019;CINZA
1;1;6;HJK5E12;HYUNDAI HB20;2024;VERMELHO
1;1;7;LMN6F34;FIAT ARGO;2022;AZUL
1;1;8;PRT7G56;FORD RANGER;2023;PRATA
1;1;9;DFG8H78;JEEP COMPASS;2022;PRETO
1;1;10;WER9J90;NISSAN KICKS;2021;BRANCO
1;1;11;TYU1K21;RENAULT DUSTER;2020;CINZA
1;1;12;UIO2L43;TOYOTA HILUX;2023;PRATA
1;1;13;ASD3M65;HONDA HRV;2022;VERMELHO
1;1;14;FGH4N87;CHEVROLET TRACKER;2023;AZUL
1;1;15;JKL5P09;VOLKSWAGEN POLO;2021;PRETO
1;1;16;ZXC6Q31;HYUNDAI CRETA;2023;BRANCO
1;1;17;BNM7R53;FIAT TORO;2022;CINZA
1;1;18;QWE8S75;FORD MAVERICK;2024;PRATA
1;1;19;RTY9T97;JEEP RENEGADE;2021;AZUL
1;1;20;YUI1U19;NISSAN SENTRA;2023;VERMELHO
1;1;21;OPA2V41;RENAULT KWID;2022;BRANCO
1;1;22;SDF3W63;TOYOTA YARIS;2021;PRETO
1;1;23;GHJ4X85;HONDA CITY;2022;PRATA
1;1;24;KLO5Y07;CHEVROLET CRUZE;2019;CINZA
1;1;25;POI6Z29;VOLKSWAGEN T-CROSS;2023;AZUL
1;1;26;MNB7A51;HYUNDAI TUCSON;2022;VERMELHO
1;1;27;VFR8B73;FIAT PULSE;2023;BRANCO
1;1;28;CDE9C95;FORD TERRITORY;2024;PRETO
1;1;29;EFG1D17;JEEP COMMANDER;2023;CINZA
1;1;30;HIJ2E39;NISSAN FRONTIER;2022;PRATA
1;1;31;JKM3F61;RENAULT CAPTUR;2021;AZUL
1;1;32;LMO4G83;TOYOTA SW4;2023;VERMELHO
1;1;33;NOP5H05;HONDA FIT;2020;BRANCO
1;1;34;PQR6J27;CHEVROLET S10;2023;PRETO
1;1;35;RST7K49;VOLKSWAGEN NIVUS;2022;PRATA
1;1;36;TUV8L71;HYUNDAI SANTA FE;2021;CINZA
1;1;37;UVW9M93;FIAT MOBI;2022;AZUL
1;1;38;WXY1N15;FORD EDGE;2020;VERMELHO
1;1;39;XYZ2P37;JEEP WRANGLER;2022;PRETO
1;1;40;ABC3Q59;NISSAN VERSA;2023;BRANCO
1;1;41;DEF4R81;RENAULT LOGAN;2021;CINZA
1;1;42;GHI5S03;TOYOTA ETIOS;2019;PRATA
1;1;43;JKL6T25;HONDA ACCORD;2022;AZUL
1;1;44;MNO7U47;CHEVROLET MONTANA;2024;VERMELHO
1;1;45;PQR8V69;VOLKSWAGEN AMAROK;2023;PRETO
1;1;46;STU9W91;HYUNDAI ELANTRA;2022;BRANCO